x	y
0 100
0.2547	99.78
0.6085	99.563
0.637	98.993
0.8779	97.631
1.1902	93.989
1.3322	92.053
1.5448	90.69
1.7292	88.983
1.8854	87.162
2.098	85.799
2.24	83.863
2.368	81.812
2.51	79.991
2.6661	78.169
2.8646	76.692
3.0067	74.641
3.1204	72.59
3.2202	70.196
3.334	68.031
3.4195	65.751
3.632	64.616
3.8023	62.909
3.9585	60.974
4.1711	59.611
4.4692	56.082
4.5831	53.802
4.7957	52.44
4.9091	51.416
5.1218	50.053
5.2353	48.687
5.5044	47.782
5.6323	45.732
5.8308	44.254
6.0294	42.548
6.242	41.299
6.4546	40.051
6.6389	38.459
6.8375	36.867
6.9654	34.816
7.1497	33.338
7.3341	31.746
7.462	29.695
7.7875	29.478
7.9154	27.541
8.1562	26.408
8.3406	24.815
8.5956	23.796
8.907	23.35
9.2325	23.018
9.4875	21.999
9.7707	21.209
10.0962	20.763
10.3935	20.088
10.6626	19.298
10.9599	18.622
11.2431	17.832
11.6111	17.16
11.9225	16.599
12.2339	16.152
12.5456	14.907
12.8287	14.231
13.1401	13.785
13.3809	12.765
13.8057	11.637
14.0465	10.618
14.3579	10.171
15.6176	8.386
15.9713	8.398
16.4807	8.414
16.8344	8.426
17.0611	7.177
17.4148	7.189
17.7686	7.201
18.0517	6.525
18.3349	5.849
18.7735	5.863
19.1272	5.875
19.4809	5.887
19.6932	5.551
19.9904	5.332
20.2595	4.428
20.6132	4.439
20.9669	4.451
21.2924	4.119
21.5897	3.672
21.9434	3.684
22.2971	3.695
22.6508	3.707
23.0045	3.718
23.3582	3.73
24.2354	3.758
24.5891	3.77
24.9428	3.782
25.5091	2.544
25.8628	2.556
26.2166	2.567
26.5703	2.579
26.924	2.59
27.2777	2.602

