x	y
0 100
0.0573	99.001
0.2567	98.004
0.456	97.006
0.5704	95.508
0.8269	93.761
0.9126	92.763
1.1128	90.265
1.4266	87.52
1.5121	87.021
1.7977	84.025
1.9405	82.527
2.1979	79.281
2.3698	76.533
2.5697	74.536
2.7406	73.538
2.9116	72.29
3.1396	70.794
3.2826	69.046
3.7377	67.552
4.0794	65.807
4.364	64.561
4.5637	62.813
4.877	61.068
5.0763	60.071
5.3331	57.824
5.5036	57.576
5.6739	57.579
5.9868	56.583
6.2148	55.086
6.3569	54.838
6.584	54.841
6.9258	52.846
7.2391	51.101
7.5239	49.604
7.6945	49.107
7.8938	48.11
8.1495	47.863
8.3769	47.366
8.4625	46.618
8.5766	45.619
8.7194	44.121
8.9755	43.125
9.1751	41.627
9.5734	40.133
9.8015	38.386
10.0292	37.389
10.2564	37.392
10.3983	37.394
10.6541	36.898
11.1372	36.155
11.2506	36.406
11.8179	37.414
12.1019	37.168
12.2731	35.67
12.4438	35.173
12.8143	32.678
13.1558	31.183
13.639	30.189
13.6675	29.94
13.8382	29.442
13.9801	29.444
14.1505	29.447
14.4345	29.2
14.633	29.703
14.8598	30.206
15.1721	30.211
15.3425	30.213
15.5984	29.467
15.7974	28.969
16.138	29.224
16.4501	29.478
