x	y
0 100
0.1891	99.829
0.303	98.824
0.3978	98.153
0.4737	97.316
0.6253	96.477
0.7771	94.969
0.8912	93.294
1.0051	91.955
1.1378	91.116
1.2706	89.943
1.4222	89.104
1.5362	87.597
1.6881	85.922
1.8019	85.084
1.935	82.907
2.1062	80.396
2.3525	79.053
2.4471	78.717
2.5233	77.211
2.6374	75.536
2.8081	74.028
3.0742	70.511
3.5481	67.325
3.6811	65.651
3.814	64.143
3.9092	62.469
4.0804	59.623
4.1754	58.451
4.2705	56.944
4.4413	55.269
4.5931	53.928
4.6689	53.258
4.821	51.081
4.9538	49.908
5.0678	48.568
5.1817	47.395
5.3145	46.222
5.4281	45.719
5.504	44.881
5.7313	43.873
5.8451	42.868
5.9968	41.695
6.0918	40.522
6.1865	40.186
6.2813	39.515
6.4138	39.178
6.5464	38.34
6.7546	37.834
6.8871	37.33
7.0198	36.492
7.1524	35.988
7.1527	34.984
7.2287	34.147
7.3232	34.145
7.437	33.307
7.4939	32.804
7.57	31.632
7.7023	31.629
7.9483	31.123
8.005	31.122
8.1752	31.119
8.2508	31.118
8.4025	29.944
8.4216	29.442
8.573	29.272
8.781	29.101
8.9512	28.931
9.1024	29.262
9.2726	29.092
9.4246	27.25
9.5574	25.909
9.69	25.238
9.8415	24.734
9.9929	24.396
10.1632	24.059
10.3146	23.721
10.3904	23.218
10.542	22.379
10.5423	21.376
10.5807	20.038
10.6187	19.535
10.8267	19.364
10.9025	19.028
10.9221	17.188
11.0171	16.016
11.1115	16.349
11.3194	16.345
11.5085	16.341
11.641	16.004
11.7735	15.668
12.0193	15.663
12.1705	15.827
12.3028	15.825
12.36	14.653
12.4171	13.649
12.5309	12.643
12.72	12.64
12.9092	12.302
13.0417	11.965
13.174	11.963
13.3064	11.96
13.4392	10.787
13.6472	10.616
13.7986	10.446
13.8575	4.592
13.8932	10.11
13.8941	7.769
13.896	2.919
13.8964	1.748
13.8968	0.578

