x	y
0 1
0.8621	0.9844
1.0454	0.9758
1.1244	0.96551
1.2822	0.95007
1.4403	0.92949
1.4944	0.9055
1.5738	0.89007
1.7056	0.87292
1.9148	0.86603
2.1765	0.8557
2.439	0.83509
2.5705	0.82137
2.7549	0.79907
2.9389	0.78019
3.0703	0.76818
3.2539	0.75615
3.5154	0.74754
3.7252	0.73379
3.9609	0.72175
4.1701	0.71486
4.1969	0.70629
4.1978	0.69431
4.1986	0.68403
4.2784	0.66518
4.4102	0.64803
4.4904	0.62233
4.6218	0.61031
4.7525	0.60686
4.91	0.59484
5.1461	0.57767
5.2771	0.57079
5.4353	0.54849
5.4369	0.52795
5.4395	0.49541
5.4641	0.51424
5.5446	0.48511
5.5984	0.46456
5.7037	0.45255
5.731	0.43713
5.7579	0.42685
6.0192	0.42166
6.3067	0.41475
6.4378	0.40616
6.7	0.38898
6.8057	0.37183
6.8852	0.3564
6.8862	0.3427
7.0179	0.32727
7.0981	0.30156
7.2556	0.28954
7.4135	0.27239
7.4935	0.25011
7.5467	0.2364
7.6785	0.21925
7.8093	0.21408
7.9671	0.19864
8.1247	0.1849
8.2567	0.16433
8.4661	0.15572
8.7794	0.15223
9.0144	0.14876
9.3013	0.15041
9.406	0.14525
9.4074	0.12812
9.5128	0.1144
9.7489	0.09723
9.9587	0.08348
10.1941	0.07487
10.4035	0.06627
10.6388	0.05937
10.8221	0.05077
10.9797	0.03703
11.3975	0.03181
11.6061	0.03347
11.893	0.03341
12.1278	0.03336
12.4149	0.03159
12.5983	0.02128
12.8596	0.01608

