x	y
0 1
0.0525	0.99143
0.6272	0.98279
0.7587	0.94852
0.8381	0.90741
0.9436	0.8663
1.1274	0.82861
1.259	0.79092
1.3384	0.74981
1.3656	0.707
1.419	0.66589
1.4723	0.62308
1.5256	0.58197
1.5798	0.50662
1.7896	0.47235
2.1298	0.44661
2.3136	0.40892
2.5756	0.37634
2.8115	0.34206
2.9431	0.30266
3.3354	0.28035
3.6756	0.25461
4.0419	0.22888
4.1735	0.18947
4.3312	0.15178
4.7496	0.13117
5.4025	0.13108
5.6644	0.10022
5.822	0.06595
6.3967	0.05902
7.0496	0.05893
7.7025	0.05883
8.199	0.04506
8.6695	0.02958
9.3224	0.02949
9.9753	0.0294
10.6282	0.02931
11.2811	0.02921
11.934	0.02912
12.4306	0.01021
13.0835	0.01012
13.7364	0.01003
14.3893	0.00993
15.0422	0.00984
15.6951	0.00975
16.348	0.00965
17.0008	0.00956
17.6537	0.00947
18.3066	0.00937
18.9595	0.00928

