x	y
0.00E+00	1.00E+02
7.24E-02	1.00E+02
1.09E-01	1.00E+02
1.36E-01	1.00E+02
1.90E-01	9.99E+01
2.08E-01	9.99E+01
2.62E-01	9.97E+01
2.90E-01	9.96E+01
3.44E-01	9.96E+01
3.53E-01	9.93E+01
4.25E-01	9.89E+01
4.52E-01	9.89E+01
4.98E-01	9.88E+01
5.07E-01	9.87E+01
5.34E-01	9.85E+01
5.88E-01	9.82E+01
6.60E-01	9.76E+01
6.69E-01	9.72E+01
6.88E-01	9.65E+01
7.60E-01	9.65E+01
7.87E-01	9.65E+01
8.69E-01	9.65E+01
9.23E-01	9.64E+01
9.77E-01	9.62E+01
1.03E+00	9.62E+01
1.04E+00	9.60E+01
1.08E+00	9.56E+01
1.09E+00	9.55E+01
1.13E+00	9.52E+01
1.17E+00	9.50E+01
1.19E+00	9.43E+01
1.22E+00	9.43E+01
1.28E+00	9.43E+01
1.34E+00	9.40E+01
1.38E+00	9.40E+01
1.38E+00	9.38E+01
1.40E+00	9.31E+01
1.45E+00	9.26E+01
1.48E+00	9.23E+01
1.51E+00	9.17E+01
1.51E+00	9.17E+01
1.59E+00	9.12E+01
1.65E+00	9.12E+01
1.68E+00	9.10E+01
1.77E+00	9.09E+01
1.79E+00	9.09E+01
1.89E+00	9.05E+01
1.96E+00	9.00E+01
2.04E+00	8.97E+01
2.14E+00	8.94E+01
2.19E+00	8.86E+01
2.28E+00	8.86E+01
2.36E+00	8.86E+01
2.40E+00	8.86E+01
2.45E+00	8.86E+01
2.54E+00	8.84E+01
2.56E+00	8.84E+01
2.66E+00	8.84E+01
2.71E+00	8.81E+01
2.73E+00	8.81E+01
2.77E+00	8.81E+01
2.80E+00	8.74E+01
2.82E+00	8.74E+01
2.84E+00	8.69E+01
2.84E+00	8.64E+01
2.84E+00	8.64E+01
2.90E+00	8.60E+01
2.95E+00	8.60E+01
3.00E+00	8.60E+01
3.05E+00	8.60E+01
3.09E+00	8.59E+01
3.12E+00	8.58E+01
3.14E+00	8.58E+01
3.18E+00	8.58E+01
3.20E+00	8.58E+01
3.25E+00	8.58E+01
3.30E+00	8.58E+01
3.35E+00	8.52E+01
3.37E+00	8.50E+01
3.40E+00	8.49E+01
3.41E+00	8.46E+01
3.46E+00	8.42E+01
3.48E+00	8.40E+01
3.54E+00	8.40E+01
3.56E+00	8.40E+01
3.62E+00	8.39E+01
3.66E+00	8.39E+01
3.69E+00	8.39E+01
3.74E+00	8.39E+01
3.76E+00	8.39E+01
3.80E+00	8.39E+01
3.85E+00	8.39E+01
3.88E+00	8.39E+01
3.94E+00	8.37E+01
3.97E+00	8.36E+01
4.04E+00	8.36E+01
4.13E+00	8.35E+01
4.14E+00	8.35E+01
4.22E+00	8.35E+01
4.26E+00	8.29E+01
4.28E+00	8.28E+01
4.24E+00	8.22E+01
4.24E+00	8.18E+01
4.25E+00	8.11E+01
