"c.t.S..n.hat.1.n.t...d..cen."	"ncol"	"byrow"
"1"	0	4	FALSE
"2"	0.4884	4	FALSE
"3"	0.8548	4	FALSE
"4"	1.099	4	FALSE
"5"	1.5874	4	FALSE
"6"	2.0759	4	FALSE
"7"	2.9306	4	FALSE
"8"	3.1138	4	FALSE
"9"	3.4801	4	FALSE
"10"	3.7854	4	FALSE
"11"	3.9685	4	FALSE
"12"	4.3349	4	FALSE
"13"	5.0065	4	FALSE
"14"	5.7391	4	FALSE
"15"	6.1665	4	FALSE
"16"	6.2886	4	FALSE
"17"	6.6549	4	FALSE
"18"	6.8381	4	FALSE
"19"	7.2655	4	FALSE
"20"	7.6318	4	FALSE
"21"	8.0592	4	FALSE
"22"	8.6698	4	FALSE
"23"	9.0361	4	FALSE
"24"	9.2192	4	FALSE
"25"	9.5856	4	FALSE
"26"	9.8298	4	FALSE
"27"	10.1961	4	FALSE
"28"	10.5014	4	FALSE
"29"	10.9288	4	FALSE
"30"	11.3562	4	FALSE
"31"	11.6614	4	FALSE
"32"	11.9667	4	FALSE
"33"	12.2109	4	FALSE
"34"	12.4551	4	FALSE
"35"	13.0046	4	FALSE
"36"	13.6152	4	FALSE
"37"	14.1647	4	FALSE
"38"	14.592	4	FALSE
"39"	14.7752	4	FALSE
"40"	15.1415	4	FALSE
"41"	15.5079	4	FALSE
"42"	16.1184	4	FALSE
"43"	16.6068	4	FALSE
"44"	17.0953	4	FALSE
"45"	17.3395	4	FALSE
"46"	17.7058	4	FALSE
"47"	18.3774	4	FALSE
"48"	18.9269	4	FALSE
"49"	19.1711	4	FALSE
"50"	19.5985	4	FALSE
"51"	19.8427	4	FALSE
"52"	20.5143	4	FALSE
"53"	21.0638	4	FALSE
"54"	22.346	4	FALSE
"55"	23.6281	4	FALSE
"56"	24.4829	4	FALSE
"57"	24.666	4	FALSE
"58"	25.2766	4	FALSE
"59"	25.4598	4	FALSE
"60"	25.765	4	FALSE
"61"	26.1314	4	FALSE
"62"	26.4977	4	FALSE
"63"	27.1693	4	FALSE
"64"	28.6346	4	FALSE
"65"	29.7336	4	FALSE
"66"	31.4431	4	FALSE
"67"	32.0537	4	FALSE
"68"	32.5421	4	FALSE
"69"	33.0305	4	FALSE
"70"	33.3358	4	FALSE
"71"	33.7632	4	FALSE
"72"	34.1295	4	FALSE
"73"	34.4348	4	FALSE
"74"	35.5948	4	FALSE
"75"	39.5634	4	FALSE
"76"	40.0518	4	FALSE
"77"	40.296	4	FALSE
"78"	41.2118	4	FALSE
"79"	41.5782	4	FALSE
"80"	42.1277	4	FALSE
"81"	42.7993	4	FALSE
"82"	43.3488	4	FALSE
"83"	44.0814	4	FALSE
"84"	44.2035	4	FALSE
"85"	50.0037	4	FALSE
"86"	50.1869	4	FALSE
"87"	50.7364	4	FALSE
"88"	52.2017	4	FALSE
"89"	55.1323	4	FALSE
"90"	55.987	4	FALSE
"91"	74	4	FALSE
"92"	73	4	FALSE
"93"	71	4	FALSE
"94"	70	4	FALSE
"95"	67	4	FALSE
"96"	63	4	FALSE
"97"	61	4	FALSE
"98"	60	4	FALSE
"99"	59	4	FALSE
"100"	57	4	FALSE
"101"	56	4	FALSE
"102"	56	4	FALSE
"103"	52	4	FALSE
"104"	49	4	FALSE
"105"	48	4	FALSE
"106"	47	4	FALSE
"107"	46	4	FALSE
"108"	45	4	FALSE
"109"	44	4	FALSE
"110"	43	4	FALSE
"111"	41	4	FALSE
"112"	38	4	FALSE
"113"	37	4	FALSE
"114"	36	4	FALSE
"115"	36	4	FALSE
"116"	34	4	FALSE
"117"	33	4	FALSE
"118"	33	4	FALSE
"119"	33	4	FALSE
"120"	32	4	FALSE
"121"	32	4	FALSE
"122"	31	4	FALSE
"123"	31	4	FALSE
"124"	30	4	FALSE
"125"	29	4	FALSE
"126"	29	4	FALSE
"127"	28	4	FALSE
"128"	28	4	FALSE
"129"	27	4	FALSE
"130"	26	4	FALSE
"131"	26	4	FALSE
"132"	25	4	FALSE
"133"	25	4	FALSE
"134"	24	4	FALSE
"135"	24	4	FALSE
"136"	24	4	FALSE
"137"	23	4	FALSE
"138"	23	4	FALSE
"139"	23	4	FALSE
"140"	22	4	FALSE
"141"	22	4	FALSE
"142"	21	4	FALSE
"143"	21	4	FALSE
"144"	16	4	FALSE
"145"	15	4	FALSE
"146"	11	4	FALSE
"147"	11	4	FALSE
"148"	9	4	FALSE
"149"	7	4	FALSE
"150"	6	4	FALSE
"151"	4	4	FALSE
"152"	3	4	FALSE
"153"	1	4	FALSE
"154"	0	4	FALSE
"155"	0	4	FALSE
"156"	1	4	FALSE
"157"	0	4	FALSE
"158"	0	4	FALSE
"159"	1	4	FALSE
"160"	1	4	FALSE
"161"	1	4	FALSE
"162"	2	4	FALSE
"163"	1	4	FALSE
"164"	0	4	FALSE
"165"	1	4	FALSE
"166"	1	4	FALSE
"167"	0	4	FALSE
"168"	1	4	FALSE
"169"	1	4	FALSE
"170"	0	4	FALSE
"171"	1	4	FALSE
"172"	0	4	FALSE
"173"	0	4	FALSE
"174"	1	4	FALSE
"175"	0	4	FALSE
"176"	1	4	FALSE
"177"	0	4	FALSE
