x y
0 100
0.4884 99.525
0.8548 99.05
1.099 98.812
1.5874 97.862
2.0759 96.675
2.9306 95.487
3.1138 93.824
3.4801 90.974
3.7854 89.786
3.9685 89.074
4.3349 86.936
5.0065 85.511
5.7391 85.036
6.1665 84.086
6.2886 82.898
6.6549 81.948
6.8381 80.76
7.2655 80.523
7.6318 80.285
8.0592 78.86
8.6698 78.147
9.0361 77.197
9.2192 75.534
9.5856 73.634
9.8298 72.684
10.1961 72.447
10.5014 71.259
10.9288 70.309
11.3562 69.359
11.6614 67.221
11.9667 66.746
12.2109 65.558
12.4551 64.846
13.0046 64.371
13.6152 63.183
14.1647 62.233
14.592 61.045
14.7752 59.62
15.1415 58.195
15.5079 57.245
16.1184 56.057
16.6068 54.394
17.0953 54.157
17.3395 53.207
17.7058 52.494
18.3774 51.781
18.9269 51.306
19.1711 50.594
19.5985 48.931
19.8427 47.743
20.5143 46.793
21.0638 46.081
22.346 45.368
23.6281 44.656
24.4829 44.181
24.666 43.468
25.2766 42.518
25.4598 42.043
25.765 41.33
26.1314 41.093
26.4977 40.855
27.1693 40.618
28.6346 40.38
29.7336 39.667
31.4431 39.43
32.0537 39.192
32.5421 37.767
33.0305 37.055
33.3358 36.58
33.7632 36.105
34.1295 34.917
34.4348 34.204
35.5948 33.967
39.5634 33.017
40.0518 32.304
40.296 31.354
41.2118 30.879
41.5782 30.166
42.1277 29.929
42.7993 29.691
43.3488 29.454
44.0814 29.216
44.2035 28.741
50.0037 27.316
50.1869 25.891
50.7364 25.653
52.2017 25.416
55.1323 24.941
55.987 24.703
