x	y
0 100
0.6536	98.292
1.1585	97.153
1.8705	97.039
2.3163	95.558
3.058	95.444
3.1189	92.711
3.4167	90.774
3.6258	88.269
4.7838	86.333
5.1705	84.624
5.8533	83.713
6.3879	82.46
6.5667	81.207
7.0721	79.271
7.8137	79.157
8.3187	78.018
9.0307	77.79
9.8346	72.779
10.3987	71.868
10.6664	70.729
11.26	70.046
11.6465	68.565
12.3906	64.351
13.0139	63.667
13.4893	62.415
14.1125	61.845
15.123	58.656
15.5392	56.948
16.1334	55.467
16.6681	54.214
17.2028	52.847
17.619	51.253
18.3606	51.253
18.9839	50.569
19.5185	49.431
19.9352	47.039
20.6769	46.925
21.1223	46.128
21.2115	45.786
21.5083	45.558
21.8353	44.305
22.5769	44.191
23.3185	44.191
24.0601	44.191
24.8016	44.191
25.2771	42.825
25.8118	41.458
26.3464	40.319
27.088	40.319
27.8296	40.319
28.5711	40.319
29.3127	40.319
29.3131	39.636
29.7289	38.724
30.4705	38.724
31.2121	38.724
31.9537	38.724
32.5475	37.813
32.7858	36.105
33.5274	35.991
34.1507	35.421
34.2105	34.51
34.9522	34.396
35.5164	33.371
36.258	33.257
36.9996	33.257
38.4234	33.257
39.165	33.257
39.9669	31.549
40.6789	31.435
41.4205	31.435
42.6074	30.638
43.2012	29.841
43.9131	29.841
44.6547	29.841
45.5742	29.841
46.3158	29.841
47.8878	29.954
48.7185	29.727
49.1336	30.068
49.46	29.841
49.6676	30.068
50.3212	28.36
50.3517	26.879
50.5009	25.399
51.3313	25.626
51.8654	25.399
52.3992	25.513
53.1705	25.513
53.8229	25.74
54.3273	25.626
54.8909	25.626
55.4545	25.513
56.0477	25.74
56.4926	25.74

